Company,Company Aliases,Website,Company Structure,Date of Legal Structure,Primary Company Contact,Secondary Company Contact,Key Faculty Founder,Key Faculty Founder 2,Billing Address Line 1,Billing City,Billing State/Province,Billing Zip/Postal Code,County if NC,Company email,Phone,Description,Comments (Public),Comments (Private),Company Exit,Company Exit Date,Company Exit 2,Company Exit 2 Date
Aloha Social,,https://itunes.apple.com/us/app/aloha-friendly-college-meetup/id1328813294,LLC - Limited Liability,9/2/2017,Rob Haisfield,,,,6528 Columbine Ct,Niwot,Colorado,80503-7148,,,,"Most social media apps out there try to keep you on the screen for as long as they can and interacting with people you already know. The apps that are out there for meeting people always come with the context of dating, which makes you less comfortable meeting someone face-to-face. Aloha is an application for making a big community like a college campus feel smaller, reducing the fear of rejection and making it that much easier to start a friendly face-to-face interaction with someone in the same building as you. Conversations over text pale in comparison to the personal and mental health benefits of a conversation in person, so we don't even include messaging. We have the front end built, and now we're working on the backend.","incorporated in Colorado as Aloha Social, LLC","Link doesn't work, no other websites. Colorado Sec of State site shows that this company was voluntarily dissolved as of Nov 25, 2019. JL 6/7/20. Website doesn't work 2nd year, no record, will mark ""inactive"". -JL 7/20/21","Liquidation, close down",7/1/2018,,
AlphaRank Inc,BiddRocket Inc,https://www.alpharank.ai/,C Corporation,12/16/2010,Brian Ley,,,,303 Twin Dolphin Dr,Redwood City,California,94065,,,(919) 522-1904,"""Want to know which of your customers would make your best Brand Ambassadors? Using the Alpharank Data as a Service we identify the brand ambassadors in your customer base so you can focus your outbound advertising and marketing efforts on them to generate the highest ROI for the most efficient out-of-pocket. Optimize your social advertising as well as your display ads by focusing your message on the heaviest influencers that will create the most pass-along impact for your sales."" (LinkedIn, 5/31/2018)","incorporated DE; incorporated NC withdrawn 7/20/2016, no website or LinkedIn information (Cindy, 5/11/2017) became Alpharank? http://www.alpharank.io/ - no incorporation information found under that name, Founder Brian Ley's LinkedIn profile indicates it was founded in 2015 (Cindy, 5/11/2017) was BiddRocket Inc, now Alpharank Inc registered as Alpharank Inc in CA, DE, dated 5/13/2016 for CA incorporated DE File Number 4914460. Website is still active, 6-25-22 - Tiffany","Listed as ""withdrawn"" on NC website; Alpharank ""Active on CA website, last annual report 5/12/23. Website still active (Juliana, 5/18/23) ""Active"" on CA website, statement of info filed 5/8/24, website active/updated (John 6/1/24).",,,,
AlphaVax Inc,"Alphavax,Alphavax Human Vaccines",http://www.alphavax.com/,C Corporation,2/13/1997,Robert Johnston,Nancy Davis,Nancy Davis,Robert Johnston,PO Box 110307,Research Triangle Park,North Carolina,27709,Durham,finance@alphavax.com,(919) 595-0400,"AlphaVax develops vaccine technology with applications in infectious disease, cancer, and biodefense threats.","incorporated DE, NC; annual report NC 3/15/2017 NC annual report 2/27/19. Jen Lai 7/12/19. Annual report 3/31/20, JL 6/7/20. NC AR 4/22/21- JL 7/20/21. NC Sec State website status is ""Current-Active"", NC AR - 6-2-22, website is active - 6-25-22 - Tiffany. Current - Active on NC site, annual report filed 3/18/23, website active (Juliana, 5/18/23) NC SoS Status ?Current- Active?, AR filed 4/29/24, website not active, could not verify contact info (John 6/1/24). likely exit - recheck PitchBook and other sources later - Cindy, 7/27/2024 Licenses expired/terminated with UNC - Cindy, 7/27/2024","Annual report 3/31/20, JL 6/7/20. AR 4/14/21- JL 7/20/21. NC Sec State website status is ""Current-Active"", NC AR - 6-2-22, website is active - 6-25-22 - Tiffany. AR 3/21/23, active (TP, 7/20/23). NC SoS Status ?Current- Active?, AR filed 3/18/24, website not active, could not verify contact info (John 6/1/24).",,,,
Alpha V Inc,,http://www.alphav.com/,C Corporation,10/17/2003,Ronald DiFelice,,,,620 Park Place,Chapel Hill,North Carolina,27514,Orange,info@alphavee.com,,"innovative energy technologies in power generation, energy storage, renewable energy systems, and power transmission",,,"Liquidation, close down",9/30/2014,,
Alrgn Bio Inc,,www.alrgnbio.com,C Corporation,6/10/2014,Tom Grimes,Ann Russell,,,2901 E Gate City Blvd,Greensboro,North Carolina,27401,,info@alrgnbio.com,(919) 395-8547,"Alrgn Bio Inc is commercializing a patented post-harvest process that significantly reduces the allergenicity of peanuts. We are the exclusive licensee of the bioprocess technology developed at North Carolina A& T State University. This technology will be offered to food companies to enable the production of reduced allergen peanut-based products (i.e. snacking peanuts, peanut butter, candy, flour, etc.) that can greatly lower the risk of accidental allergic incidents. The ""Safer peanut"" products could help make public places (i.e. school cafeterias, ballparks, restaurants and airplanes) less dangerous and scary for peanut allergic individuals, while increasing usage occasions and revenue opportunities for peanut product manufacturers. (from the company?s application form in December 2015)","no information after 2018, appears to have exited via liquidation. no record of acquisition. Cindy, 6/4/2024",,"Liquidation, close down",12/31/2018,,
Altis BioSystems LLC,,https://altisbiosystems.com/,LLC - Limited Liability,5/1/2015,Christopher Sims,Nancy Allbritton,Nancy Allbritton,Christopher Sims,6 Davis Drive,Durham,North Carolina,27709,Orange,info@altisbiosystems.com,(919) 885-4823,Altis BioSystems is developing microengineered devices for recapitulating organ level function.,"NEO company, per Jason. Dept of Chemistry. License with UNC? Per Cindy: I had to create ICS example/projection metrics during its strategic planning some years ago. They are examples of interdisciplinary founded startups, not ICS per se.","NC AR 2/11/21- JL 7/20/21. NC Sec State website status is ""Current-Active"", website is active - 6-25-22 - Tiffany. Current - Active on NC site, annual report filed 3/10/23, website active (Juliana, 5/18/23) NC SoS Status ?Current- Active?, AR filed 2/15/24, website active, address/phone updated (John 6/1/24).",,,,
Altometrics Inc,,http://altometrics.com/,C Corporation,5/19/2010,Robert Burbridge,Jeffrey Terrell,Jeffrey Terrell,Kevin Jeffay,5131 Lansdowne Dr,Durham,North Carolina,27712,Durham,info@altometrics.com,(919) 445-9602,"Altometrics develops innovative methods of analyzing highly complex data sets, and its core technology was invented by Jeff Terrell during his PhD work at UNC-Chapel Hill.","incorporated NC, annual report NC 1/9/2017, 1/20/2018 agreement terminated, per Jackie Quay, 1/4/2017 website down 6/7/2018","Website is inactive. NC Secretary of State is ""dissolved"" status on 9/27/18. Jen Lai 7/14/19","Liquidation, close down",9/27/2018,,
Amirabilia,RoadAmico,http://amirabilia.com/,C Corporation,2/16/2018,Lucia Binotti,,,,201 Oak Glen Pl.,Chapel Hill,North Carolina,27516,Orange,,(919) 360-1203,"RoadAmico allows travelers to have a unique, tailored, cultural experience without taking too much time and effort in planning, or spending money on pre-packaged tours that send them to overcrowded, trite sightseeing.",incorporated DE Data provided by Sheryl Waddell on 2/5/2016. Launching the Venture.,"Annual report 5/2/20, JL 6/7/20. NC Sec State website status is ""Current-Active"", NC AR - 1-11-22, website is active - 6-25-22 - Tiffany. ""Active-on notice"" on NC website, last annual report filed 1/10/22, website active (Juliana, 5/18/23) ""Admin. Dissolved"" on NC website, destruction filing 10/5/23; website active, address updated, ""permanently closed"" on Google, company active per founder's linkedin (John 5/31/24).",,,,
Amlal Pharmaceuticals,Amlal Pharmaceuticals Inc,https://www.amlal.org/,C Corporation,7/6/2020,Daniel Krummel,Soma Sengupta,Daniel Krummel,Soma Sengupta,209 Hosea Ave,Cincinnati,Ohio,45220,,admin@amlal.org,(617) 599-4145,"Lung cancer is the leading cause of cancer associated mortality in the U.S. The most common lung cancer type, non-small cell lung cancer (NSCLC), comprises 80-85% of lung cancers. Most NSCLC patients will clinically present with metastatic disease, which is usually incurable. A particularly challenging metastatic site to treat is the brain, which accounts for 30% of NSCLC metastatic cases. Even with standard-of-care, the median survival of a patient with NSCLC brain metastasis is 7-10 months. Amlal is advancing a new class of small-molecule therapeutics that are brain-penetrant and non-toxic.",,"Therapeutic startup, no UNC IP to date (Judy Prasad) Incorporated DE file no. 3170481, no website found (John 6/1/24).",,,,
Anansi Skills,Anansi,https://anansiskills.com/,S Corporation,1/18/2019,Jaymin Patel,Sam Lester,,,"306 W Franklin St, suite F",Chapel Hill,North Carolina,27516,Orange,anansiskills@gmail.com,(229) 364-8124,"""Anansi uses an app platform to match students with teachers in their communities so that anyone can share and learn skills for free.Our goal is to allow people to teach what they love and learn whatever they desire""","no website found, incorporation in Georgia active but owes current year AR (Patrick, 1/11/2021) incorporation in Georgia status is ""Admin. Dissolved"", 6-25-22 - Tiffany Per Cindy: I had to create ICS example/projection metrics during its strategic planning some years ago. They are examples of interdisciplinary founded startups, not ICS per se.","Cannot find registration in NC nor DE, LinkedIN record available, but listed website does not work and cannot find alternative. JL 6/7/20. Co likely not active, record on linkedin says it ended 12/2019. No website found. https://www.linkedin.com/in/jaymin-patel-a82973191 -JL 7/20/21. Per previous note above and website is inactive, marking inactive, 6/25/2022 - Tiffany","Liquidation, close down",12/1/2019,,
AnelleO Inc,,https://anelleo.com/,,9/22/2016,Soumya Rahima Benhabbour,,Soumya Rahima Benhabbour,,519 Dairy Glen Rd,Chapel Hill,North Carolina,27516-4386,Orange,info@anelleo.com,(919) 448-4008,"Anelleo is focused on developing IVRs that can release two drugs simultaneously for treatments such as contraception and disease prevention (HIV, HPV, etc.). The technology uses 3D printing from Carbon3D, but it has its own IP related to the rings themselves.",incorporated DE UNC license effective date 12/20/2018,"NC Sec State website status is ""Current-Active"", NC AR - 5-19-21, website is active - 6-25-22 - Tiffany. Current - Active on NC Site, last NC Annual Report Filed 10/24/22, website active (Juliana, 5/18/23) NC SoS Status ?Current- Active?, AR filed 2/26/24, website active (John 6/1/24).",,,,
AngleFix Tech LLC,,,LLC - Limited Liability,9/30/2005,Laurence Dahners,,Laurence Dahners,,1723 Beverly Dr,Charlotte,North Carolina,28207,Mecklenburg,,(704) 773-7652,AngleFix Tech develops novel screw technology for orthopedic plates.,incorporated NC; annual report NC 11/28/2016,,"Liquidation, close down",8/17/2017,,
ANTE,,http://ante.business/,Sole Proprietorship,2/8/2020,Tyrell Carter,,,,519 Van Nordan St.,Washington,North Carolina,27889,Beaufort,tyrell@live.unc.edu,,ANTE develops a business analytics dashboard for small businesses that will maximize revenue and reduce costs.,"website is still active, and company contact's LinkedIn shows the company as still active, 6-25-22 - Tiffany","Not found on either NC or DE sites, contact's Linkedin suggests it's still active, website active (Juliana, 5/18/23) Not found on either NC or DE sites, contact's Linkedin suggests it's still active, website inactive (John 6/20/24).",,,,
Antioch Builds Community,,https://antiochbuildscommunity.org/,501c,4/18/2005,James C Thomas,,James C Thomas,,1415 HOLLOWAY ST,Durham,North Carolina,27703-2125,Durham,antiochbuildscommunity@gmail.com,(919) 688-8893,"""Antioch Builds Community is a community-based organization committed to identifying needs in the Durham community and responding with compassion through collaboration, support and education. We operate the ABC transitional home which provides temporary housing for persons reentering community life after incarceration."" (website on Facebook, 1/16/2019)","EIN 20-3533409 IRS website lists most recent Form 990-N filed for Tax Year 2021, website is active, 6-25-22 - Tiffany website inactive, founder no longer with charity, marking inactive - Cindy, 6/5/2024","Current - Active on NC site, annual report not required, website inactive and no website beyond a Facebook found after multiple searches (Juliana, 5/18/23) ""Current- Active"" on NC SoS, EIN: 20-3533409, form 990-N filed 2023, website inactive/not found (John 6/1/24).",Other,1/1/2023,,
